Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
0	0.5791916	1.8153126	4.7679424	-2.0976906	22.208334	20.716295	64.0	0.0	1000.0	712.0	0.023733333333333332	0.5426652	0.57902956	1.9814941	-1.2177134	-0.37318408	0.11663932	0.12251505	-0.7626914	-3.1664968e-08	0.001403683	-5.5879354e-08	-0.0051410953	0.85000384	-0.69469684	25.440641	-9.279654	0.99999994	-0.031171799	1.0	1.837877	0.018819313	30000	41.88590359687805
1	-0.0001776566	1.3426704	2.7872996	-2.194393	13.291667	15.587066	54.0	0.0	1000.0	1089.0	0.01815	0.092026696	0.36358362	1.2218841	-1.1641165	2.5425823	1.5875268	7.7971873	-1.9497167	3.7252903e-09	0.040982187	0.0	-0.002909189	0.11169854	-0.016959626	10.4312725	-3.049857	0.96882814	-0.026806831	1.0	1.8373703	0.120825514	60000	82.6269154548645
2	0.4692562	1.5857191	7.0559335	-1.3585696	14.75	18.572493	59.0	0.0	1000.0	1572.0	0.017466666666666665	0.053832375	0.36444283	1.1580634	-1.2153468	1.6465764	1.0753706	6.3267097	-1.432876	7.450581e-09	-0.009480063	3.7252903e-09	-0.017453793	0.13194329	-0.025124565	14.354789	-2.2188654	0.9420213	-0.022709548	79.0	1.8377389	0.009639183	90000	130.82277464866638
3	1.2643056	2.5036085	8.19579	-1.4080435	8.875	20.071358	96.0	0.0	1000.0	1850.0	0.015416666666666667	0.08437261	0.42446604	1.4142346	-1.0899717	1.5914427	1.3561898	6.887685	-2.0607631	3.7252903e-09	-0.008356132	2.2351742e-08	-0.014726906	0.13157424	-0.025268026	8.306595	-1.828006	0.91931176	-0.022859335	79.0	1.8226721	0.0088322945	120000	178.56087064743042
4	0.6965572	1.3381011	3.822468	-1.637893	15.625	17.89975	54.0	0.0	1000.0	2280.0	0.0152	0.1329849	0.37259814	1.4598787	-1.0018275	1.3766869	1.3017639	7.8234143	-1.880973	5.5879354e-09	-0.0014472114	0.0	-0.0034315097	0.14215371	-0.02546813	11.1625	-2.5504808	0.8964524	-0.027294993	5.0	1.8128326	0.003583112	150000	219.20429134368896
5	1.2005302	1.646878	4.997287	-1.9392667	13.5	19.649004	70.0	0.0	1000.0	2817.0	0.01565	0.09681665	0.36837286	1.5672677	-1.0725267	1.6393361	1.6306497	10.725834	-1.66006	2.7939677e-09	0.0061441227	1.6763806e-08	-0.00034029572	0.12559715	-0.026579436	18.006325	-4.152205	0.86915743	-0.027534068	1.0	1.8093126	0.017793369	180000	260.34100890159607
6	0.7632301	1.6745821	4.408362	-2.038072	11.916667	20.202965	66.0	0.0	1000.0	3126.0	0.014885714285714285	0.11940556	0.41608468	1.4550617	-1.1571171	1.4885706	2.1108422	15.780146	-2.9281669	-1.1175871e-08	-0.0007658577	-2.6077032e-08	-0.0011666631	0.112338655	-0.025744088	10.477657	-3.5026398	0.84162337	-0.027356207	1.0	1.8076975	0.0015148353	210000	301.4324231147766
7	0.85322756	1.7169433	5.0278482	-2.6485023	13.416667	20.32428	65.0	0.0	1000.0	3483.0	0.0145125	0.10798462	0.3407994	1.4415605	-1.1534802	1.438464	1.8393039	13.263398	-2.3274415	0.0	-0.00011192169	-1.4901161e-08	-0.0037928	0.089719325	-0.019593503	12.162291	-4.2261367	0.81426716	-0.026877463	1.0	1.8063583	0.009674507	240000	342.95761036872864
8	0.9098825	1.6429344	5.6787014	-2.2155237	20.166666	26.545036	106.0	0.0	1000.0	4080.0	0.015111111111111112	0.058999367	0.31853953	1.1976762	-1.0803686	1.1290444	1.5935099	12.005194	-4.193096	1.6763806e-08	0.0007674545	2.0489097e-08	-0.0020690497	0.11622752	-0.027092073	16.34832	-4.731531	0.7873897	-0.02500093	1.0	1.8052286	0.009135447	270000	383.6249842643738
9	0.7563817	1.9303138	7.272609	-1.5352031	21.458334	33.374115	105.0	0.0	1000.0	4635.0	0.01545	0.077033415	0.38576007	1.372433	-1.1255563	2.5474584	2.6528804	15.7912245	-1.9763201	0.0	-0.00056159357	-2.9802322e-08	-0.0012602201	0.124028265	-0.029156212	18.263798	-6.054777	0.76238877	-0.0230636	1.0	1.804687	0.004113977	300000	424.7572441101074
